Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked
Alo,German Shepherd,"(42.37156593, -71.09542824)",42.37156593,-71.09542824
Aloo,Catahoula,"(42.37066281, -71.08984074)",42.37066281,-71.08984074
Alpine,Lab Mix,"(42.36046471, -71.10654757)",42.36046471,-71.10654757
Alvin,Golden Doodle Mix,"(42.38736087, -71.13163629)",42.38736087,-71.13163629
Alyssa,Labrador Retriever,"(42.38730688, -71.12172723)",42.38730688,-71.12172723
Amana,Pitbull,"(42.36477714, -71.1110273)",42.36477714,-71.1110273
Amie,Chihuahua Mix,"(42.37809669, -71.15086091)",42.37809669,-71.15086091
Amigo,Chihuahua X,"(42.37028673, -71.10812676)",42.37028673,-71.10812676
Amigo,Chihuahua,"(42.37014143, -71.08443378)",42.37014143,-71.08443378
Amit,Labrador Retriever,"(42.36762085, -71.08236131)",42.36762085,-71.08236131
Amos,Lakeland Terrier,"(42.37860541, -71.12550902)",42.37860541,-71.12550902
Amy,Golden Retriever,"(42.37059288, -71.07928973)",42.37059288,-71.07928973
Ana Ekaterina,Aus Cat Mix,"(42.368636, -71.071485)",42.368636,-71.071485
Ana Luzia,Golden Retriever,"(42.38634165, -71.1208569)",42.38634165,-71.1208569
Andre,Toy Poodle,"(42.36427167, -71.11006769)",42.36427167,-71.11006769
Andy,Bichon Frise,"(42.37353608, -71.08079372)",42.37353608,-71.08079372
Andy,Corgi,"(42.37813373, -71.10899038)",42.37813373,-71.10899038
Angel,Pit Bull,"(42.3936365, -71.12873416)",42.3936365,-71.12873416
Angel,Terrier Mix,"(42.38612626, -71.12113124)",42.38612626,-71.12113124
Angel,Pit Bull Mix,"(42.36331662, -71.10648457)",42.36331662,-71.10648457
Angie,Basenji,"(42.37059714, -71.0773062)",42.37059714,-71.0773062
Angus,West Highland White Terrier,"(42.37977148, -71.12395813)",42.37977148,-71.12395813
Angus,Havanese,"(42.38425679, -71.11826692)",42.38425679,-71.11826692
Angus,Border Collie,"(42.3648951, -71.08343808)",42.3648951,-71.08343808
Anita,Beagle,"(42.37243839, -71.09621357)",42.37243839,-71.09621357
Anna,Chinook,"(42.38794171, -71.14464973)",42.38794171,-71.14464973
Anna,Yorksire Terrier,"(42.3916601, -71.11951391)",42.3916601,-71.11951391
Anna,Chihuahua,"(42.36447091, -71.09568502)",42.36447091,-71.09568502
Annabelle,Boxer,"(42.36799076, -71.10633575)",42.36799076,-71.10633575
Annabelle,Labrador Retriever Mix,"(42.38503945, -71.12092662)",42.38503945,-71.12092662
Annie,West Highland White Terrier,"(42.36841514, -71.1014647)",42.36841514,-71.1014647
Annie,Pit Bull,"(42.36652755, -71.10864396)",42.36652755,-71.10864396
Annie,Terrier,"(42.39350585, -71.12915617)",42.39350585,-71.12915617
Annie,Husky / Mix,"(42.36266957, -71.11062478)",42.36266957,-71.11062478
Annie,Corgi,"(42.40030706, -71.13557868)",42.40030706,-71.13557868
Annie,Dachshund,"(42.39197383, -71.12659083)",42.39197383,-71.12659083
Annie,Terrier,"(42.3642169, -71.10681576)",42.3642169,-71.10681576
Annie,Mixed,"(42.39996408, -71.15176136)",42.39996408,-71.15176136
Annie,Border Collie,"(42.38453466, -71.12916968)",42.38453466,-71.12916968
Annie,Coonhound,"(42.38033415, -71.13891091)",42.38033415,-71.13891091
Annie,Pug,"(42.36640668, -71.10979339)",42.36640668,-71.10979339
Annie,Chihuahua Mix,"(42.35981483, -71.1081778)",42.35981483,-71.1081778
Annie,Labrador Retriever,"(42.36232919, -71.10310743)",42.36232919,-71.10310743
Annie,Rat Terr,"(42.36144498, -71.10843782)",42.36144498,-71.10843782
Annie,Pit Bull,"(42.39891276, -71.13727349)",42.39891276,-71.13727349
Annie/Hildegaard,Dachshund,"(42.40057872, -71.13299876)",42.40057872,-71.13299876
Annika,German Shepherd,"(42.3812164, -71.13589001)",42.3812164,-71.13589001
Anubis,Poodle,"(42.39655068, -71.13284382)",42.39655068,-71.13284382
Anvik,Alaskan Malamute,"(42.37561249, -71.12663841)",42.37561249,-71.12663841
Anzu,Labrador Retriever X,"(42.36802476, -71.10519356)",42.36802476,-71.10519356
Apache,Terrier,"(42.3760595, -71.12263052)",42.3760595,-71.12263052
Apollo,Pit Bull Terrier Mix,"(42.38909884, -71.13143063)",42.38909884,-71.13143063
Apollo,Labradoddle,"(42.37313367, -71.12174544)",42.37313367,-71.12174544
Apollo,Golden Retriever,"(42.37422704, -71.12581123)",42.37422704,-71.12581123
Apollo,Pitbull Terrier Mix,"(42.3901804, -71.13235384)",42.3901804,-71.13235384
Appah,Puli,"(42.36979891, -71.07645517)",42.36979891,-71.07645517
Apu,Australian Terrier,"(42.38662974, -71.13825507)",42.38662974,-71.13825507
Archibald,Havanese Mix,"(42.35549861, -71.09954217)",42.35549861,-71.09954217
Archie,Newfoundland,"(42.35745194, -71.11132781)",42.35745194,-71.11132781
Archie,Welsh Terrier,"(42.35848251, -71.10757308)",42.35848251,-71.10757308
Archie,English Shepherd,"(42.38074069, -71.13658871)",42.38074069,-71.13658871
Archie,Cockerpoo,"(42.36848587, -71.08081348)",42.36848587,-71.08081348
Archie,Dachshund,"(42.3861131, -71.11843269)",42.3861131,-71.11843269
Archie,Golden Retriever,"(42.39336286, -71.15393073)",42.39336286,-71.15393073
Archie,Rat Terrier,"(42.37167816, -71.10318913)",42.37167816,-71.10318913
Archie Tyrone,Bichon Frise Mix,"(42.39495568, -71.13032464)",42.39495568,-71.13032464
Argos,Boxer,"(42.3859992, -71.1297877)",42.3859992,-71.1297877
Argos,English Bulldog,"(42.35797281, -71.11431398)",42.35797281,-71.11431398
Argos,Labrador Retriever Mix,"(42.37351266, -71.12323595)",42.37351266,-71.12323595
Arianna,Poodle,"(42.38364381, -71.13561372)",42.38364381,-71.13561372
Ariel,Basenji,"(42.38191698, -71.13572993)",42.38191698,-71.13572993
Arlo,Retr Mix,"(42.36676731, -71.11048403)",42.36676731,-71.11048403
Arlo,Golden Retriever,"(42.36830637, -71.09478141)",42.36830637,-71.09478141
Arlo,Spanish Water Dog,"(42.36226932, -71.10928659)",42.36226932,-71.10928659
Arlo,Jindo,"(42.38148607, -71.11325568)",42.38148607,-71.11325568
Arly,Shetland Sheepdog,"(42.37428021, -71.12515786)",42.37428021,-71.12515786
