Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Longitude_masked
Dexter,OLDE ENGLISH BULLDOG,"(42.36675016, -71.08359852)",42.36675016,-71.08359852
Dexter,German Shepherd,"(42.38730851, -71.12290655)",42.38730851,-71.12290655
Dexter,Labrador / Pit Bull,"(42.36859058, -71.0907759)",42.36859058,-71.0907759
Dexter,Labrador Retriever,"(42.38530715, -71.13284523)",42.38530715,-71.13284523
Dexter,Pug Mix,"(42.38431739, -71.11892494)",42.38431739,-71.11892494
Dexter,Beagle,"(42.35759522, -71.10723273)",42.35759522,-71.10723273
Dexter,Schnauzer,"(42.38929394, -71.14494378)",42.38929394,-71.14494378
Dezi,Havanese,"(42.37892463, -71.15060422)",42.37892463,-71.15060422
Dharmaja,Labrador Retriever,"(42.39638444, -71.13018711)",42.39638444,-71.13018711
Di,Pit Bull,"(42.38905985, -71.11979388)",42.38905985,-71.11979388
Diablo,Chi/Terr Mix,"(42.37094865, -71.08360375)",42.37094865,-71.08360375
Diamond,Toy Poodle,"(42.36988974, -71.09416299)",42.36988974,-71.09416299
Diamond,Rottweiler,"(42.38833945, -71.12118253)",42.38833945,-71.12118253
Diego,Jack Russell Terrier,"(42.37895533, -71.12180473)",42.37895533,-71.12180473
Diego,Labrador Retreiver,"(42.37127487, -71.08533135)",42.37127487,-71.08533135
Diesel,Shih Tzu Mix,"(42.36885873, -71.09663746)",42.36885873,-71.09663746
Diesel,Pit Bull,"(42.39932993, -71.13247486)",42.39932993,-71.13247486
Diesel,English Bulldog,"(42.37275292, -71.09856667)",42.37275292,-71.09856667
Diesel,American Bulldog,"(42.37217527, -71.10161153)",42.37217527,-71.10161153
Diesel,Shih - Tzu,"(42.37044146, -71.09596098)",42.37044146,-71.09596098
Diesel,Golden Doodle,"(42.36958957, -71.11308685)",42.36958957,-71.11308685
Diesel,Plott Hound,"(42.39089647, -71.12198349)",42.39089647,-71.12198349
Digby,Lab Retriever Mix,"(42.35802194, -71.112068)",42.35802194,-71.112068
Dillon,Golden Retriever,"(42.38212832, -71.13873094)",42.38212832,-71.13873094
Dinah,English Bulldog,"(42.4012946, -71.1515361)",42.4012946,-71.1515361
Dingo,Chihuahua,"(42.3738664, -71.09590614)",42.3738664,-71.09590614
Dingo Dogwood,Carolina Dingo,"(42.37511416, -71.10748925)",42.37511416,-71.10748925
Dino,Min Pincher/Rat Terrier,"(42.36416103, -71.10821128)",42.36416103,-71.10821128
Dino,Chihuahua,"(42.37078883, -71.08343401)",42.37078883,-71.08343401
Dinsford,Labrador Retriever,"(42.36795609, -71.09677937)",42.36795609,-71.09677937
Dior,Pit Bull,"(42.36581112, -71.08146924)",42.36581112,-71.08146924
Dipper,Yorkshire Terrier,"(42.39755116, -71.13569957)",42.39755116,-71.13569957
Dita Wozniak,Labrador Retriever,"(42.38381579, -71.13547481)",42.38381579,-71.13547481
Dits,Cockerpoo,"(42.36303439, -71.10618095)",42.36303439,-71.10618095
Dixie,Beagle Mix,"(42.35631493, -71.10548766)",42.35631493,-71.10548766
Dixie,Cairn Terrier,"(42.37181383, -71.11064536)",42.37181383,-71.11064536
Dixie,Morkie,"(42.36764941, -71.08515709)",42.36764941,-71.08515709
Dixie,Terrier,"(42.37877297, -71.12040148)",42.37877297,-71.12040148
Dixie,Golden Retriever,"(42.38817674, -71.12803441)",42.38817674,-71.12803441
Dj,Rhodesian Ridgeback,"(42.3815709, -71.13713645)",42.3815709,-71.13713645
D.J.,Rhodesian Ridgeback,"(42.38174605, -71.13584506)",42.38174605,-71.13584506
Django,Mixed Breed,"(42.36308167, -71.10943154)",42.36308167,-71.10943154
Django,Spaniel,"(42.38010554, -71.13208904)",42.38010554,-71.13208904
Django,English Bulldog,"(42.36064689, -71.1007972)",42.36064689,-71.1007972
Django,Bich/Poodle,"(42.37502808, -71.14946241)",42.37502808,-71.14946241
Djuna,Labrador Retriever,"(42.36861716, -71.08521232)",42.36861716,-71.08521232
Dkoda,Mix,"(42.384251, -71.13694904)",42.384251,-71.13694904
Dobby,Golden Retriever,"(42.3847013, -71.12105704)",42.3847013,-71.12105704
Doctor,Shepherd,"(42.37150721, -71.1012627)",42.37150721,-71.1012627
Dodger,Labrador Retreiver,"(42.39134185, -71.13883518)",42.39134185,-71.13883518
Dodger,Australian Heeler,"(42.3849356, -71.13197734)",42.3849356,-71.13197734
Dodger,Australian Shepherd,"(42.37183045, -71.11100401)",42.37183045,-71.11100401
Dodger,Mix,"(42.37171601, -71.09852594)",42.37171601,-71.09852594
Dodi,Lab Retriever Mix,"(42.37485988, -71.14945621)",42.37485988,-71.14945621
Dogbeth,Mix,"(42.38196345, -71.1350591)",42.38196345,-71.1350591
Doja,Golden Retriever Chow Mix,"(42.3744186, -71.09841094)",42.3744186,-71.09841094
Dolce Lee,Siberian Husky,"(42.37119562, -71.07282885)",42.37119562,-71.07282885
Dolly,Labrador Retriever,"(42.37061442, -71.1142107)",42.37061442,-71.1142107
Dolly,Beagle,"(42.38237666, -71.1398429)",42.38237666,-71.1398429
Dolma,Canine,"(42.39393291, -71.13894018)",42.39393291,-71.13894018
Domino,Boston Terr,"(42.35727998, -71.11179016)",42.35727998,-71.11179016
Donovan Takacs,Standard Poodle,"(42.37168151, -71.12030933)",42.37168151,-71.12030933
Doobs,Labrador Retriever,"(42.38874431, -71.14368637)",42.38874431,-71.14368637
Doodle Stanley,Dachshund,"(42.38276334, -71.11671847)",42.38276334,-71.11671847
Doogie,Border Terrier Mix,"(42.37798062, -71.11150553)",42.37798062,-71.11150553
Dora,Brittany Spaniel,"(42.38257317, -71.13360774)",42.38257317,-71.13360774
Dora,Bichon Frise,"(42.36935417, -71.11178275)",42.36935417,-71.11178275
Dora,Dachshund Mix,"(42.37120451, -71.10329761)",42.37120451,-71.10329761
Dora,Beagle,"(42.3735669, -71.09791742)",42.3735669,-71.09791742
Dora,Mix,"(42.39515027, -71.13409773)",42.39515027,-71.13409773
Dora,Bich/Poodle,"(42.36930098, -71.11109373)",42.36930098,-71.11109373
Dori,Rat Terrier,"(42.36094427, -71.10372128)",42.36094427,-71.10372128
Dorothy,Pit Bull,"(42.37052537, -71.0986508)",42.37052537,-71.0986508
Dorothy,American Bulldog,"(42.36968694, -71.10451467)",42.36968694,-71.10451467
Dot,Pit Bull,"(42.37062355, -71.09356659)",42.37062355,-71.09356659
Dottie,Shepherd Mix,"(42.3945778, -71.13530275)",42.3945778,-71.13530275
Dottie,Hound Mix,"(42.37690469, -71.12951455)",42.37690469,-71.12951455
Dottie,Pit Bull Mix,"(42.38969523, -71.14449627)",42.38969523,-71.14449627
Doug,Terrier,"(42.38386172, -71.13660555)",42.38386172,-71.13660555
Dover,Border Collie,"(42.38955842, -71.12331795)",42.38955842,-71.12331795
Dozer,Pointer,"(42.36169827, -71.11233726)",42.36169827,-71.11233726
Drake,Miniature Schnauzer Mix,"(42.39438773, -71.14743033)",42.39438773,-71.14743033
Draper,Golden Retriever,"(42.39822636, -71.13152004)",42.39822636,-71.13152004
Dreamer,Whippet,"(42.39119721, -71.12536653)",42.39119721,-71.12536653
Dreamer,Bernese Mountain Dog,"(42.3752874, -71.13026703)",42.3752874,-71.13026703
Duango,Chihuahua,"(42.37055637, -71.11627053)",42.37055637,-71.11627053
Dublin,Feist,"(42.36572489, -71.10136482)",42.36572489,-71.10136482
Dublin,Labradoddle,"(42.3769902, -71.1470196)",42.3769902,-71.1470196
Duchess,German Shepherd,"(42.37747122, -71.10994182)",42.37747122,-71.10994182
Duchess,Border Collie,"(42.36854736, -71.10731737)",42.36854736,-71.10731737
Duchess,Hound X,"(42.39784285, -71.1319596)",42.39784285,-71.1319596
Ducky,Chihuahua,"(42.35939033, -71.10608954)",42.35939033,-71.10608954
Dudley,Dachshund,"(42.39185673, -71.11959146)",42.39185673,-71.11959146
Dudu,Miniture Pinscher,"(42.39127065, -71.14651266)",42.39127065,-71.14651266
Duffy,Maltese,"(42.36752124, -71.09875669)",42.36752124,-71.09875669
Duke,Dachshund,"(42.36753844, -71.09390725)",42.36753844,-71.09390725
Duke,Labrador,"(42.39554795, -71.14707799)",42.39554795,-71.14707799
Duke,Mixed,"(42.3683015, -71.1108802)",42.3683015,-71.1108802
Duke,Husky,"(42.36859695, -71.11109355)",42.36859695,-71.11109355
Duke,Schnauzer,"(42.38449565, -71.11537145)",42.38449565,-71.11537145
Duke,American Staffordshire Terrier,"(42.37357906, -71.0994074)",42.37357906,-71.0994074
Duke,Brittany Spaniel,"(42.36810508, -71.10421409)",42.36810508,-71.10421409
Duke,German Shorthair Pointer,"(42.36766959, -71.08344105)",42.36766959,-71.08344105
Duke,Golden Retriever,"(42.37997704, -71.11717801)",42.37997704,-71.11717801
Duke,German Shepherd,"(42.36160642, -71.10433947)",42.36160642,-71.10433947
Duncan,Golden Doodle,"(42.39463635, -71.15408503)",42.39463635,-71.15408503
Duncan,Siberian Husky,"(42.36759667, -71.11055301)",42.36759667,-71.11055301
Duncan,Golden Retriever,"(42.38100539, -71.13807263)",42.38100539,-71.13807263
Duncan,Great Dane Mix,"(42.37046486, -71.10447792)",42.37046486,-71.10447792
Duncan,English Bulldog,"(42.38421969, -71.13711294)",42.38421969,-71.13711294
Duncan,West Highland White Terrier,"(42.36932536, -71.10356671)",42.36932536,-71.10356671
Duncan,Scottish Terrier,"(42.38322301, -71.12907512)",42.38322301,-71.12907512
Duncan,Labrador Retreiver,"(42.36984324, -71.09692997)",42.36984324,-71.09692997
Dunkin,Golden Retriever,"(42.38234807, -71.13464376)",42.38234807,-71.13464376
Duque,Bichon Frise,"(42.38363054, -71.13092238)",42.38363054,-71.13092238
Duro,Siberian Husky,"(42.3731504, -71.11105857)",42.3731504,-71.11105857
Dusty,Labrador Retriever,"(42.38077403, -71.15164638)",42.38077403,-71.15164638
Dusty,Cocker Spaniel,"(42.35850924, -71.11157462)",42.35850924,-71.11157462
Dusty,Chihuahua,"(42.37712147, -71.15080411)",42.37712147,-71.15080411
Dutch,Boston Terrier,"(42.39986162, -71.15223418)",42.39986162,-71.15223418
Dutch,Hound,"(42.38478352, -71.13115001)",42.38478352,-71.13115001
Duval,Silky Terrier,"(42.36670157, -71.09411679)",42.36670157,-71.09411679
Dwight,Greyhound,"(42.36014712, -71.10612116)",42.36014712,-71.10612116
Dwight,Yorksire Terrier,"(42.39773588, -71.13281883)",42.39773588,-71.13281883
Dylan,Golden Retriever,"(42.37048141, -71.0869036)",42.37048141,-71.0869036
Dylan,Shep,"(42.36367443, -71.11137136)",42.36367443,-71.11137136
Dynasty,Pit Bull,"(42.38360927, -71.1419514)",42.38360927,-71.1419514
Earl Grey,Pit Bull,"(42.39592477, -71.13010555)",42.39592477,-71.13010555
Eartha,Cairn Terrier,"(42.37573993, -71.1065086)",42.37573993,-71.1065086
Easter,Lab Beagle Mix,"(42.39481056, -71.13195374)",42.39481056,-71.13195374
Easy,Labrador Collie Mix,"(42.38665076, -71.13052178)",42.38665076,-71.13052178
Ebi,Shiba Inu,"(42.36741931, -71.08011813)",42.36741931,-71.08011813
Ecco,Labradoddle,"(42.37828955, -71.13591941)",42.37828955,-71.13591941
Echo,Hound,"(42.37609364, -71.1444174)",42.37609364,-71.1444174
Echo,Labradoodle Mix,"(42.38277168, -71.1198815)",42.38277168,-71.1198815
Echo,Wired Haired Pointing Griffon,"(42.37318073, -71.14016149)",42.37318073,-71.14016149
Echo,Sato,"(42.38505203, -71.11704936)",42.38505203,-71.11704936
Echo,Hound,"(42.39821829, -71.13226352)",42.39821829,-71.13226352
Echo,Tibetan Terrier,"(42.36216252, -71.11007613)",42.36216252,-71.11007613
Echo,Lab / Shep,"(42.36797469, -71.11391651)",42.36797469,-71.11391651
Echo,Golden Doodle,"(42.36957957, -71.12039676)",42.36957957,-71.12039676
Ecto,French Bulldog,"(42.38482897, -71.11463862)",42.38482897,-71.11463862
Ed,Australian Cattle Dog,"(42.37935983, -71.11656008)",42.37935983,-71.11656008
Ed,Sato,"(42.38137248, -71.1378641)",42.38137248,-71.1378641
Eddie,Terrier,"(42.36826702, -71.09666812)",42.36826702,-71.09666812
Eddie,Boxer Mix,"(42.36485129, -71.09660282)",42.36485129,-71.09660282
Eddie,Boxer Mix,"(42.3646713, -71.09642543)",42.3646713,-71.09642543
Eddie,Dachshund Mix,"(42.38377703, -71.12838146)",42.38377703,-71.12838146
Eddie,Cockerpoo,"(42.38438713, -71.14120998)",42.38438713,-71.14120998
Edie,Mix,"(42.37044919, -71.0972533)",42.37044919,-71.0972533
Edward G.,Dachshund,"(42.3927596, -71.14643988)",42.3927596,-71.14643988
Eggemoggin,Labrador Retreiver,"(42.37723247, -71.13942879)",42.37723247,-71.13942879
Eggo,American Bulldog,"(42.37984952, -71.11592624)",42.37984952,-71.11592624
Egypt,Boxer,"(42.36514764, -71.0989484)",42.36514764,-71.0989484
Eiger,Bernese Mountain Dog,"(42.38351486, -71.11598108)",42.38351486,-71.11598108
Einstein,Old English Sheepdog,"(42.39592681, -71.1332424)",42.39592681,-71.1332424
Eleanor,Yorkie Poo,"(42.37305301, -71.08171216)",42.37305301,-71.08171216
Eleanor,Boxer Mix,"(42.36763332, -71.10510648)",42.36763332,-71.10510648
Eleanor Rigby,West Highland White Terrier,"(42.372338, -71.10506765)",42.372338,-71.10506765
Elfie,Labrador Retriever,"(42.37884142, -71.1430858)",42.37884142,-71.1430858
Eli,Labrador Retriever,"(42.37892462, -71.14659063)",42.37892462,-71.14659063
Eliza,Boxer / Lab Mix,"(42.37170812, -71.09438557)",42.37170812,-71.09438557
Elke,Miniature Schnauzer,"(42.38288419, -71.13754395)",42.38288419,-71.13754395
Ella,Pit Bull,"(42.39445325, -71.15527202)",42.39445325,-71.15527202
Ella,Australian Cattle Dog,"(42.36804147, -71.08162578)",42.36804147,-71.08162578
Ella,Siberian Husky,"(42.37609277, -71.13147802)",42.37609277,-71.13147802
Ella,Schnoodle,"(42.38455785, -71.12954018)",42.38455785,-71.12954018
Ella,PAPILLON,"(42.37036875, -71.11206681)",42.37036875,-71.11206681
Ella,Japanese Chin,"(42.37393667, -71.09794863)",42.37393667,-71.09794863
Ella,Poodle,"(42.37217131, -71.12550667)",42.37217131,-71.12550667
Ella,Labrador Retriever,"(42.37182363, -71.10240556)",42.37182363,-71.10240556
Ella,Poodle,"(42.35987251, -71.10848829)",42.35987251,-71.10848829
Ella,Cavalier King Charles Spaniel,"(42.38217816, -71.13967947)",42.38217816,-71.13967947
Ella,Poodle,"(42.37492296, -71.11149092)",42.37492296,-71.11149092
Ella,Golden Retriever,"(42.37984856, -71.11012967)",42.37984856,-71.11012967
Ella,Mixed,"(42.3707949, -71.11478025)",42.3707949,-71.11478025
Ella,Miniature Poodle,"(42.37127505, -71.10464948)",42.37127505,-71.10464948
Ella Luna,Shih Tzu,"(42.36175317, -71.10623201)",42.36175317,-71.10623201
Ellery,"Foxhound, Mix","(42.36881115, -71.09136527)",42.36881115,-71.09136527
Ellie,Terrier,"(42.39131405, -71.12518719)",42.39131405,-71.12518719
Ellie,American Staffordshire Terrier,"(42.39897704, -71.13638725)",42.39897704,-71.13638725
Ellie,Terrier X,"(42.38579594, -71.11803111)",42.38579594,-71.11803111
Ellie,Terrier Mix,"(42.38704108, -71.11800098)",42.38704108,-71.11800098
Ellie,Cockerpoo,"(42.37692646, -71.13764832)",42.37692646,-71.13764832
Ellie,Labradoddle,"(42.3795526, -71.15229974)",42.3795526,-71.15229974
Ellie,Havanese,"(42.37769146, -71.1362677)",42.37769146,-71.1362677
Ellie Mae,Maltipoo,"(42.39209617, -71.14543696)",42.39209617,-71.14543696
Ellie Mae,Puggle,"(42.37334781, -71.1063224)",42.37334781,-71.1063224
Ellie Sue,Yorkshire Terrier,"(42.388197, -71.11985977)",42.388197,-71.11985977
Elly,Boston Terrier,"(42.38400742, -71.13017857)",42.38400742,-71.13017857
Elmo,Cairn Terrier,"(42.37626566, -71.13664163)",42.37626566,-71.13664163
Elmo,PAPILLON,"(42.3626861, -71.10364386)",42.3626861,-71.10364386
Eloise,Labrador Retriever Mix,"(42.36963227, -71.1137239)",42.36963227,-71.1137239
Eloise,Schnoodle,"(42.36406281, -71.10847475)",42.36406281,-71.10847475
Eloise,French Bulldog,"(42.37107563, -71.08074213)",42.37107563,-71.08074213
Eloise,Labrador Retriever Mix,"(42.36955424, -71.09207598)",42.36955424,-71.09207598
Eloise,Mix,"(42.39106426, -71.1334433)",42.39106426,-71.1334433
Elphie,Golden Retriever,"(42.38401004, -71.13444013)",42.38401004,-71.13444013
Elsa,Yorksire Terrier,"(42.3917902, -71.11967631)",42.3917902,-71.11967631
Elsa,Shih Tzu,"(42.37178629, -71.09897276)",42.37178629,-71.09897276
Elvis,Cavalier King Charles Spaniel,"(42.3774688, -71.13841235)",42.3774688,-71.13841235
Ember,Mix,"(42.38314938, -71.13144244)",42.38314938,-71.13144244
Emerson,Golden Doodle,"(42.37410199, -71.10999257)",42.37410199,-71.10999257
Emerson,Labrador Retreiver,"(42.36665273, -71.1095435)",42.36665273,-71.1095435
Emily Claire,Papillon,"(42.37014969, -71.09052929)",42.37014969,-71.09052929
Emla,Golden Doodle,"(42.38325845, -71.13270396)",42.38325845,-71.13270396
Emma,Lakeland Terrier,"(42.37332449, -71.10894034)",42.37332449,-71.10894034
Emma,Boxer Mix,"(42.38420559, -71.11836692)",42.38420559,-71.11836692
Emma,Terrier,"(42.39232257, -71.12694152)",42.39232257,-71.12694152
Emma,Labrador Retreiver,"(42.37267203, -71.10893859)",42.37267203,-71.10893859
Emma,Pit Bull,"(42.36812947, -71.09882342)",42.36812947,-71.09882342
Emma,Border Terrier,"(42.36888155, -71.08460575)",42.36888155,-71.08460575
Emma,Mix,"(42.3648756, -71.11372396)",42.3648756,-71.11372396
Emma,Boxer,"(42.35522904, -71.10757835)",42.35522904,-71.10757835
Emma,West Highland White Terrier,"(42.39164312, -71.14671086)",42.39164312,-71.14671086
Emma,Golden Retriever,"(42.38552187, -71.12414191)",42.38552187,-71.12414191
Emma,Labrador Retriever,"(42.35497211, -71.10964548)",42.35497211,-71.10964548
Emma,Labrador Retriever Mix,"(42.37011414, -71.09949705)",42.37011414,-71.09949705
Emma,Golden Doodle,"(42.37897756, -71.14666079)",42.37897756,-71.14666079
Emma,Mix,"(42.36294038, -71.10268959)",42.36294038,-71.10268959
Emma,Labrador Retriever Mix,"(42.38396173, -71.11428966)",42.38396173,-71.11428966
Emma,Lab Mix,"(42.37274511, -71.08325185)",42.37274511,-71.08325185
Emma,Cavachon,"(42.36945114, -71.09188772)",42.36945114,-71.09188772
Emma,Bernese Mountain Dog,"(42.37429346, -71.12276917)",42.37429346,-71.12276917
Emmet,Chow-Shepherd,"(42.38280025, -71.11369539)",42.38280025,-71.11369539
Emmett,Aust Shep,"(42.38886363, -71.12552596)",42.38886363,-71.12552596
Emmett,LABRADOR RETREIVER,"(42.38675839, -71.11764586)",42.38675839,-71.11764586
Emmit,Poodle,"(42.37784084, -71.14901686)",42.37784084,-71.14901686
Emmitt,Labrador Retreiver,"(42.38589868, -71.12962334)",42.38589868,-71.12962334
Emmy,Boston Terrier,"(42.38822467, -71.12394407)",42.38822467,-71.12394407
Emmylou,Poodle,"(42.39198491, -71.12704751)",42.39198491,-71.12704751
Ender,Hound,"(42.36858111, -71.10385116)",42.36858111,-71.10385116
Enkidu,Greyhound Mix,"(42.39124323, -71.14648721)",42.39124323,-71.14648721
Enzo,Cockerpoo,"(42.37494277, -71.13152547)",42.37494277,-71.13152547
Enzo,Unknown,"(42.36192887, -71.10765694)",42.36192887,-71.10765694
Enzo,Labrador Retreiver,"(42.38714935, -71.12958658)",42.38714935,-71.12958658
Enzo,Labrador Retreiver,"(42.38863664, -71.14451652)",42.38863664,-71.14451652
Enzo Lee,Siberian Husky,"(42.3708971, -71.07245671)",42.3708971,-71.07245671
Ep Dick Wolf,Lab Mix,"(42.3688051, -71.10844125)",42.3688051,-71.10844125
Ernesto,Labrador Retriever Mix,"(42.38357629, -71.13226004)",42.38357629,-71.13226004
Esme,Pointer,"(42.36672557, -71.09592402)",42.36672557,-71.09592402
Esmeralda,Cavalier King Charles Spaniel,"(42.36940668, -71.10780122)",42.36940668,-71.10780122
Ethel,Bernese Mountain Dog,"(42.3682766, -71.08285907)",42.3682766,-71.08285907
Ethyl,Dachshund,"(42.38856268, -71.11975386)",42.38856268,-71.11975386
Etta,Hound,"(42.36792291, -71.10623901)",42.36792291,-71.10623901
Eudora,Great Pyrenese,"(42.35923458, -71.1094649)",42.35923458,-71.1094649
Eva,Labrador Retreiver,"(42.38976821, -71.15428204)",42.38976821,-71.15428204
Eva,Plott Hound,"(42.37181498, -71.09099694)",42.37181498,-71.09099694
Eva Buenrostro,Mini Aussie Shepherd,"(42.36922815, -71.11407489)",42.36922815,-71.11407489
Eve,Golden Retriever,"(42.39800466, -71.1410527)",42.39800466,-71.1410527
Eve,Pit Bull,"(42.38945687, -71.1329753)",42.38945687,-71.1329753
Eve,Australian Shepherd,"(42.38236535, -71.13695692)",42.38236535,-71.13695692
Evie,Staffordshire Terrier/Pit,"(42.37150971, -71.08186744)",42.37150971,-71.08186744
Evie,Schipperke,"(42.38191917, -71.13374862)",42.38191917,-71.13374862
Evie,Tibetan Terrier,"(42.38086536, -71.13679544)",42.38086536,-71.13679544
Ewok Kelebek,Papillon,"(42.37823216, -71.14981473)",42.37823216,-71.14981473
Ezra,Soft Coat Retriever,"(42.37978975, -71.14380033)",42.37978975,-71.14380033
Fado,Poodle,"(42.37604632, -71.13703667)",42.37604632,-71.13703667
Faith,Shih Tzu,"(42.39136055, -71.1465817)",42.39136055,-71.1465817
Fanny,Golden Doodle,"(42.37031472, -71.0750441)",42.37031472,-71.0750441
Fanny,Wired Haired Pointing Griffon,"(42.38108197, -71.13757617)",42.38108197,-71.13757617
Fanta,Dachshund,"(42.36254107, -71.11094575)",42.36254107,-71.11094575
Farah,German Shepherd,"(42.37066539, -71.10368871)",42.37066539,-71.10368871
Faris,Labrador Retreiver,"(42.38877502, -71.12807548)",42.38877502,-71.12807548
Farley,Labrador Retriever,"(42.37052393, -71.10975056)",42.37052393,-71.10975056
Farley,Springer Spaniel,"(42.38356615, -71.13360235)",42.38356615,-71.13360235
Feba,Mix,"(42.3788445, -71.15307649)",42.3788445,-71.15307649
Felix,Mix,"(42.36914186, -71.09372351)",42.36914186,-71.09372351
Fenris,ALASKAN MALAMUTE,"(42.38966884, -71.13919447)",42.38966884,-71.13919447
Fenway,Bichon Frise,"(42.36878086, -71.10615785)",42.36878086,-71.10615785
Fenway,Labrador Retreiver,"(42.39360675, -71.15644059)",42.39360675,-71.15644059
Fenway,English Pointer,"(42.36824393, -71.09769568)",42.36824393,-71.09769568
Fenway,Labrador Retriever X,"(42.37470312, -71.10080555)",42.37470312,-71.10080555
Fenway,Yorksire Terrier,"(42.38179983, -71.14190514)",42.38179983,-71.14190514
Fenway,Golden Doodle,"(42.38137535, -71.13939928)",42.38137535,-71.13939928
Ferdinand,French Bulldog,"(42.3698867, -71.09550648)",42.3698867,-71.09550648
Fergal,Terrier Mix,"(42.38039567, -71.12229923)",42.38039567,-71.12229923
Fergus,Terrier,"(42.36551492, -71.08407486)",42.36551492,-71.08407486
Fergus,Labradoddle,"(42.37865627, -71.13770507)",42.37865627,-71.13770507
Fergus,Scottish Terrier,"(42.38058296, -71.13923653)",42.38058296,-71.13923653
Fergus,Fox Terrier,"(42.38492799, -71.13018923)",42.38492799,-71.13018923
Fern,Shar Pei,"(42.36956456, -71.07847495)",42.36956456,-71.07847495
Fern,Jack Russel Terrier,"(42.37724034, -71.14335689)",42.37724034,-71.14335689
Ferro,German Shorthair Pointer,"(42.37869292, -71.15250738)",42.37869292,-71.15250738
Festo,Labradoodle,"(42.37295815, -71.10673932)",42.37295815,-71.10673932
Fidel,Havanese,"(42.37492775, -71.11108392)",42.37492775,-71.11108392
Fidel,Cairn Terrier,"(42.37244105, -71.09165806)",42.37244105,-71.09165806
Fidel,Cavalier King Charles Spaniel,"(42.37736356, -71.14741031)",42.37736356,-71.14741031
Fidel,Cavalier King Charles Spaniel,"(42.3771352, -71.14616968)",42.3771352,-71.14616968
Fidelio,Labrador Retreiver,"(42.37408809, -71.11014692)",42.37408809,-71.11014692
Figgs,Boxer Mix,"(42.36867573, -71.10451717)",42.36867573,-71.10451717
Figgy,Labrador Retriever,"(42.37223696, -71.10146523)",42.37223696,-71.10146523
Finbar,German Shorthair Pointer,"(42.36660418, -71.09953697)",42.36660418,-71.09953697
Finley,Labradoddle,"(42.37092297, -71.11990792)",42.37092297,-71.11990792
Finley,Shih Tzu X,"(42.35987958, -71.11122049)",42.35987958,-71.11122049
Finley,SHIH TZU MIXED,"(42.35954618, -71.11253155)",42.35954618,-71.11253155
Finn,West Highland Terrier,"(42.37882723, -71.12486782)",42.37882723,-71.12486782
Finn,Golden Retriever,"(42.37584735, -71.12855124)",42.37584735,-71.12855124
Finn,Flat Coat Retr Mix,"(42.36368903, -71.10969159)",42.36368903,-71.10969159
Finn,Terrier Mix,"(42.37651177, -71.13122985)",42.37651177,-71.13122985
Finn,Bichon Frise Mix,"(42.37168133, -71.10574535)",42.37168133,-71.10574535
Finn,West Highland White Terrier,"(42.37054683, -71.11402675)",42.37054683,-71.11402675
Finn,Dachschund,"(42.37460124, -71.10698405)",42.37460124,-71.10698405
Finn,Beagle,"(42.39474864, -71.1347052)",42.39474864,-71.1347052
Finn,Labrador Retreiver,"(42.38055257, -71.14403704)",42.38055257,-71.14403704
Finn,Labrador Retriever,"(42.39281064, -71.13149639)",42.39281064,-71.13149639
Finn,Labrador Retreiver,"(42.36856603, -71.11172035)",42.36856603,-71.11172035
Finnegan,Golden Retriever,"(42.36842238, -71.10504916)",42.36842238,-71.10504916
Finnegan,Terrier Mix,"(42.38786302, -71.12437259)",42.38786302,-71.12437259
Finnegan,Shep/Lab,"(42.38456939, -71.12008048)",42.38456939,-71.12008048
Finnegan,Australian Shepherd,"(42.39885185, -71.13103328)",42.39885185,-71.13103328
Finnegan,Terrier,"(42.37940747, -71.11976113)",42.37940747,-71.11976113
Finnegan,Maltese,"(42.37188859, -71.08610043)",42.37188859,-71.08610043
Finnegette,Dachshund,"(42.3702324, -71.09556852)",42.3702324,-71.09556852
Finola,Australian Cattle Dog,"(42.38999027, -71.14816005)",42.38999027,-71.14816005
Fiona,Shih Tzu X,"(42.36209829, -71.11000865)",42.36209829,-71.11000865
Fiona,Lhasa Apso Mix,"(42.37563935, -71.10934396)",42.37563935,-71.10934396
Fiona,French Bulldog,"(42.38333691, -71.13871516)",42.38333691,-71.13871516
Fiona Goebel,Australian Labadoodle,"(42.37847891, -71.12756853)",42.37847891,-71.12756853
Fitzgerald,Boxer,"(42.36774561, -71.08216862)",42.36774561,-71.08216862
Fizzing Whizbee,Shepherd Collie Mix,"(42.38645217, -71.13006478)",42.38645217,-71.13006478
Flag,Belgian Sheep Dog,"(42.37907305, -71.15386415)",42.37907305,-71.15386415
Flair,Golden Retriever,"(42.38020028, -71.14079366)",42.38020028,-71.14079366
Flake,Toy Poodle,"(42.37220435, -71.095213)",42.37220435,-71.095213
Flaky,Basenji,"(42.36365654, -71.09004776)",42.36365654,-71.09004776
Flame,Papillon,"(42.36984592, -71.08181695)",42.36984592,-71.08181695
Flapjack,Australian Shepherd,"(42.37191532, -71.08316227)",42.37191532,-71.08316227
Flapjack,Australian Shepherd,"(42.38299988, -71.14005209)",42.38299988,-71.14005209
Flash,Australian Cattle Dog,"(42.38244701, -71.11475083)",42.38244701,-71.11475083
Flash,Border Collie,"(42.39775695, -71.12882949)",42.39775695,-71.12882949
Flora,Italian Greyhould,"(42.36874073, -71.10361596)",42.36874073,-71.10361596
