ID#,Name,Breed,Transaction,,
1100104,Liberty                ,Labrador Mix,5/6/2011,,
1100105,Lola                    ,Pit Bull Mix,5/9/2011,,
1100106,Rudy                  ,Labrador Retriever,5/9/2011,,
1100107,Pretty Girl           ,Pit Bull Mix,5/10/2011,,
1100108,Mimi                   ,Chihuahua,5/11/2011,,
1100109,Taco                   ,Shih Tzu,5/12/2011,,
1100111,Jack                   ,Pug,5/13/2011,,
1100112,Tucker                ,Labrador Mix,5/13/2011,,
1100113,Duke                  ,Coonhound,5/16/2011,,
1100114,Mia                     ,Akita,5/16/2011,,
1100115,Kira                    ,Shepherd Mix,5/16/2011,,
1100116,Rusty                 ,Shepherd Mix,5/16/2011,,
1100117,Lucky                 ,Alaskan Husky,5/17/2011,,
1100118,Maggie               ,Collie Mix,5/17/2011,,
1100119,Murray               ,Maltese,5/17/2011,,
1100120,Teddy                 ,Pomeranian,5/18/2011,,
1100121,Alexa                  ,Bulldog,5/18/2011,,
1100122,Queen Anderson           ,Yorkshire Terrier,5/19/2011,,
1100123,Ruby                  ,Rottweiler Mix,5/19/2011,,
1100124,Ivanka                ,Alaskan Husky,5/20/2011,,
1100125,Lil One               ,Chihuahua,5/20/2011,,
1100126,Schatzi               ,German Shepherd Dog,5/23/2011,,
1100127,Lady Jane          ,Cavalier King Charles Spaniel,5/24/2011,,
1100128,Mischa               ,Miniature Schnauzer,5/24/2011,,
1100129,Scooter              ,Miniature Schnauzer,5/24/2011,,
1100130,Rooney              ,Cockapoo,5/25/2011,,
1100131,Knuckles            ,Pit Bull Mix,5/26/2011,,
1100132,King                   ,American Pit Bull Terrier,5/27/2011,,
1100133,Jo Jo                  ,Poodle,5/27/2011,,
1100134,Samson             ,Boxer,5/31/2011,,
1100135,Pug3                  ,Chihuahua,5/31/2011,,
1100136,Gracy                 ,Beagle,5/31/2011,,
1100137,Darby                 ,Beagle,5/31/2011,,
1100138,Nana                  ,Terrier Mix,6/1/2011,,
1100139,Finnegan            ,Cairn Terrier,6/3/2011,,
1100140,Daisy                  ,Chihuahua,8/7/2009,,
1100142,Simon                ,Australian Cattle Dog,6/3/2011,,
1100143,Dina                   ,Jack Russell Terrier,6/3/2011,,
1100144,Nia                     ,Rottweiler,6/3/2011,,
1100145,Guiness             ,Labrador Mix,6/6/2011,,
1100147,Charlee              ,Chihuahua,6/8/2011,,
1100149,Obama               ,Pit Bull Mix,6/9/2011,,
1100150,Finnegan            ,Labrador Retriever,6/9/2011,,
1100151,Reilly                  ,Golden Retriever,6/9/2011,,
1100152,Perky                 ,Miniature Pinscher,6/28/2005,,
1100153,Amy                   ,Beagle,6/14/2011,,
1100154,Joy                     ,"Poodle, toy",6/16/2011,,
1100155,Peanut               ,"Poodle, toy",6/16/2011,,
1100156,Chance              ,Boxer Mix,6/16/2011,,
1100157,Gus                    ,"Poodle, toy",6/16/2011,,
1100158,Chuck                ,Shepherd Mix,6/16/2011,,
1100159,Bailey                 ,Jack Russell Terrier,6/17/2011,,
1100160,Tyson                 ,Boxer Mix,6/17/2011,,
1100161,Athena               ,Boxer Mix,6/20/2011,,
1100162,Luna                   ,American Pit Bull Terrier,6/20/2011,,
1100163,Knucklehead      ,American Pit Bull Terrier,6/20/2011,,
1100164,Titan                   ,Pit Bull Mix,6/20/2011,,
1100165,May                    ,Australian Cattle Dog,6/21/2011,,
1100166,Gypsy                ,Labrador Mix,6/22/2011,,
1100167,Gabrial               ,American Eskimo Dog,6/22/2011,,
1100168,Beans                ,Pomeranian,6/22/2011,,
1100169,Lincoln               ,Labrador Mix,6/24/2011,,
1100170,Gracie                ,Miniature Pinscher,6/29/2011,,
1100171,Kane                  ,Cane Corso,6/30/2011,,
1100172,Recka                ,American Pit Bull Terrier,7/1/2011,,
1100173,Munson              ,Cocker Spaniel,7/1/2011,,
1100174,Lydia                  ,Miniature Pinscher,3/13/2008,,
1100175,Karmello            ,American Pit Bull Terrier,7/5/2011,,
1100176,Envy                   ,Pit Bull Mix,7/5/2011,,
1100177,Diva                   ,Pit Bull Mix,7/5/2011,,
1100178,Capone              ,American Pit Bull Terrier,7/5/2011,,
1100181,Paco                  ,Miniature Pinscher,7/6/2011,,
1100182,Kush                  ,Pit Bull Mix,8/18/2008,,
1100183,Dion                   ,American Staffordshire Terrier,7/6/2011,,
1100184,Minnie Blake      ,Boston Terrier,7/7/2011,,
1100185,Tippy                  ,Basset Hound,7/7/2011,,
1100186,Duke                  ,Vizsla,7/8/2011,,
1100187,Que                    ,Chihuahua,7/11/2011,,
1100188,Cabella              ,German Longhaired Pointer,7/12/2011,,
1100189,Chevy                ,Rottweiler,7/12/2011,,
1100190,Dee                    ,American Staffordshire Terrier,7/12/2011,,
1100191,Howard              ,Dachshund,7/13/2011,,
1100192,Cookie               ,Japanese Chin,7/13/2011,,
1100193,Sadie                 ,Labrador Mix,7/14/2011,,
1100194,Honey                ,American Staffordshire Terrier,12/10/2007,,
1100195,Millee                 ,Chihuahua,7/15/2011,,
1100196,Jamison             ,Scottish Terrier,7/18/2011,,
1100197,Nikki                   ,Pit Bull Mix,7/18/2011,,
1100198,Tucker                ,Pit Bull Mix,7/18/2011,,
1100199,Jesiah                ,Rottweiler Mix,7/18/2011,,
1100200,Zulu                    ,Rottweiler,7/20/2011,,
1100201,Harlow               ,Yorkshire Terrier,7/20/2011,,
1100202,Ricky                  ,Yorkshire Terrier,7/20/2011,,
1100203,Tyson                 ,Boxer,7/21/2010,,
1100204,Azul                    ,American Staffordshire Terrier,7/21/2011,,
1100205,Jigs                    ,English Springer Spaniel,7/25/2011,,
1100206,Snowy                ,West Highland White Terrier,7/26/2011,,
1100207,Winston              ,Golden Retriever,7/28/2011,,
1100208,Molly                  ,Shih Tzu,8/1/2011,,
1100209,Gucci                 ,Maltese,8/1/2011,,
1100210,Brody                 ,Chihuahua,8/1/2011,,
1100212,Chopper             ,American Pit Bull Terrier,8/5/2011,,
1100213,Isabella              ,Pit Bull Mix,8/5/2011,,
1100214,Gambit               ,Beagle,8/5/2011,,
1100215,Sparky               ,Beagle,8/8/2011,,
1100216,Ami                    ,Yorkshire Terrier,8/8/2011,,
1100217,Martha June       ,Saint Bernard,8/9/2011,,
1100218,Sasha/ Butta      ,American Staffordshire Terrier,8/9/2011,,
1100219,Mumford            ,Bernese Mountain Dog,8/10/2011,,
1100220,Maggie Mae       ,Miniature Pinscher,8/11/2011,,
1100221,Tucker                ,Cairn Terrier,8/11/2011,,
1100222,Penny                ,Beagle Mix,8/12/2011,,
1100223,Maxx                  ,Siberian Husky,8/12/2011,,
1100224,Nakida               ,American Staffordshire Terrier,7/12/2006,,
1100225,Little Worm        ,Labrador Mix,8/5/2008,,
1100226,Sam                   ,Yorkshire Terrier,8/16/2011,,
1100228,Rocky Balboa    ,Miniature Pinscher,8/17/2011,,
1100229,Garnett               ,Husky Mix,8/17/2011,,
1100230,Murphy               ,Labrador Retriever,8/17/2011,,
1100231,Amber                ,American Staffordshire Terrier,8/18/2011,,
1100232,Albert                 ,Labrador Mix,8/18/2011,,
1100233,Cesky                 ,Shepherd Mix,8/22/2011,,
1100234,Cole                   ,Labrador Retriever,8/22/2011,,
1100235,Gracie                ,Chow Mix,8/23/2011,,
1100236,Demon               ,American Staffordshire Terrier,8/24/2011,,
1100237,Heades              ,Husky Mix,8/24/2011,,
1100238,Abby                  ,Yorkshire Terrier,8/24/2011,,
1100239,Angel                 ,Yorkshire Terrier,8/24/2011,,
1100241,Cash                  ,Shih Tzu,8/25/2011,,
1100242,Terra                  ,American Staffordshire Terrier,8/29/2011,,
1100243,Lacy                   ,Collie Mix,8/30/2011,,
1100244,Sam                   ,Rhodesian Ridgeback,8/31/2011,,
1100245,Sea Haven         ,Shetland Sheepdog,9/1/2011,,
1100246,Simba                ,Boxer,9/1/2011,,
1100247,Lily                     ,Saint Bernard,9/6/2011,,
1100248,Lyn Chu             ,Shar Pei,9/7/2011,,
1100249,Hunny                ,Yorkshire Terrier,9/7/2011,,
1100251,Be - Jing            ,Shar Pei,9/7/2011,,
1100252,Angel                 ,Shih Tzu,9/7/2011,,
1100254,Fenway              ,Labrador Retriever,9/8/2011,,
1100255,Honor                 ,Labrador Retriever,9/8/2011,,
1100256,Patches              ,American Staffordshire Terrier,8/30/2007,,
1100257,Ming                   ,Shih Tzu,9/9/2011,,
1100258,Fuzz                   ,Terrier Mix,9/9/2011,,
1100259,Paris                  ,Pomeranian,9/9/2011,,
1100260,Daisy                  ,American Staffordshire Terrier,9/12/2011,,
1100261,Parker                ,Labrador Retriever,9/13/2011,,
1100262,Jackson             ,Labrador Retriever,9/13/2011,,
1100263,Bentley               ,American Staffordshire Terrier,9/14/2011,,
1100264,Max                    ,Shepherd Mix,9/15/2011,,
1100265,Oscar                 ,Poodle,9/16/2011,,
1100267,Maggie               ,Labrador Retriever,9/19/2011,,
1100268,Baj                     ,Pointer,9/19/2011,,
1100269,Zues                   ,American Pit Bull Terrier,9/19/2011,,
1100270,Simba                ,American Pit Bull Terrier,9/19/2011,,
